movie_id,movie_name,year,genre,rating,description,votes,score
tt3450958,War for the Planet of the Apes,2017,"Action, Adventure, Drama",7.4,"After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.",261959.0,7.380745697321782
tt0399146,A History of Violence,2005,"Action, Crime, Drama",7.4,"A mild-mannered man becomes a local hero through an act of violence, which sets off repercussions that will shake his family to its very core.",242376.0,7.379209028306931
tt0311113,Master and Commander: The Far Side of the World,2003,"Action, Adventure, Drama",7.4,"During the Napoleonic Wars, a brash British captain pushes his ship and crew to their limits in pursuit of a formidable French war vessel around South America.",225281.0,7.377652059440279
tt2395427,Avengers: Age of Ultron,2015,"Action, Adventure, Sci-Fi",7.3,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",872228.0,7.294513585270056
tt1825683,Black Panther,2018,"Action, Adventure, Sci-Fi",7.3,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",785813.0,7.29391254248543
tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006,"Action, Adventure, Fantasy",7.3,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",727169.0,7.293423622318056
tt0478970,Ant-Man,2015,"Action, Comedy, Sci-Fi",7.3,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world.",675514.0,7.292922963059484
tt0120903,X-Men,2000,"Action, Adventure, Sci-Fi",7.3,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",621448.0,7.292310215563925
tt0119654,Men in Black,1997,"Action, Adventure, Comedy",7.3,A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.,576229.0,7.291709889624775
tt6723592,Tenet,2020,"Action, Sci-Fi, Thriller",7.3,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",516824.0,7.290762498014565
tt2179136,American Sniper,2014,"Action, Biography, Drama",7.3,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind.",495061.0,7.290358858727794
tt2382320,No Time to Die,2021,"Action, Adventure, Thriller",7.3,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",409290.0,7.288353143222954
tt1596343,Fast Five,2011,"Action, Crime, Thriller",7.3,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,385936.0,7.287653792105567
tt0119094,Face/Off,1997,"Action, Crime, Sci-Fi",7.3,"To foil a terrorist plot, an FBI agent undergoes facial transplant surgery to assume the identity of the criminal mastermind who murdered his only son, but the criminal wakes up prematurely and seeks revenge.",382558.0,7.287545622076192
tt0111257,Speed,1994,"Action, Adventure, Thriller",7.3,A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.,369691.0,7.287115636398506
tt0238380,Equilibrium,2002,"Action, Drama, Sci-Fi",7.3,"In an oppressive future where all forms of feeling are illegal, a man in charge of enforcing the law rises to overthrow the system and state.",335325.0,7.285806871065578
tt3799694,The Nice Guys,2016,"Action, Comedy, Crime",7.3,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",335218.0,7.285802380830017
tt0120201,Starship Troopers,1997,"Action, Adventure, Sci-Fi",7.3,"Humans in a fascist, militaristic future wage war with giant alien bugs.",300663.0,7.284186762008966
tt2140479,The Accountant,2016,"Action, Thriller",7.3,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.",300457.0,7.28417602717745
tt12593682,Bullet Train,2022,"Action, Comedy, Thriller",7.3,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,293635.0,7.28381210433436
tt0437086,Alita: Battle Angel,2019,"Action, Adventure, Sci-Fi",7.3,"A deactivated cyborg's revived, but can't remember anything of her past and goes on a quest to find out who she is.",273749.0,7.282648898537828
tt1001526,Megamind,2010,"Animation, Action, Comedy",7.3,"Evil genius Megamind finally defeats his do-gooder nemesis, Metro Man, but is left without a purpose in a superhero-free world.",269272.0,7.282363589172783
tt0111503,True Lies,1994,"Action, Comedy, Thriller",7.3,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States.",264372.0,7.2820403713382
tt0363547,Dawn of the Dead,2004,"Action, Horror",7.3,"A nurse, a policeman, a young married couple, a salesman and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.",259372.0,7.281698112304467
